Gene	Organism	Annotation	Full	Condition	Time	Replicate	Zval
OQV12233.1	H.exemplaris	E74	Dev.B1.1	Dev	B1	1	-0.178938813125687
OQV14243.1	H.exemplaris	HR4	Dev.B1.1	Dev	B1	1	-0.267749827268119
OQV14677.1	H.exemplaris	EcR	Dev.B1.1	Dev	B1	1	2.95007712026278
OQV14742.1	H.exemplaris	E78	Dev.B1.1	Dev	B1	1	-0.455224345746608
OQV16526.1	H.exemplaris	CYP18A1	Dev.B1.1	Dev	B1	1	-0.271856502397516
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B1.1	Dev	B1	1	-0.592858368159
OQV18794.1	H.exemplaris	USP	Dev.B1.1	Dev	B1	1	-0.669491128545603
OQV18795.1	H.exemplaris	USP	Dev.B1.1	Dev	B1	1	2.09842473425575
OQV18927.1	H.exemplaris	E75	Dev.B1.1	Dev	B1	1	0.502833194216865
OQV21685.1	H.exemplaris	Sad	Dev.B1.1	Dev	B1	1	-0.451894488021772
OWA50673.1	H.exemplaris	HR3	Dev.B1.1	Dev	B1	1	-0.349192951415816
OQV23446.1	H.exemplaris	EcR	Dev.B1.1	Dev	B1	1	0.172651602114661
g2273.t1	R.varieornatus	HR4	Dev.B1.1	Dev	B1	1	-1.13461255398352
g2400.t1	R.varieornatus	Sad	Dev.B1.1	Dev	B1	1	0.167703399758488
g4792.t1	R.varieornatus	bFtz-F1	Dev.B1.1	Dev	B1	1	-0.881415788181376
g6536.t1	R.varieornatus	HR3	Dev.B1.1	Dev	B1	1	-0.750027514556776
g7221.t1	R.varieornatus	E75	Dev.B1.1	Dev	B1	1	0.196540538433369
g10224.t1	R.varieornatus	E74	Dev.B1.1	Dev	B1	1	-0.851749282000842
g11712.t1	R.varieornatus	E78	Dev.B1.1	Dev	B1	1	-0.743306915977976
g11953.t1	R.varieornatus	USP	Dev.B1.1	Dev	B1	1	0.187767931229322
g11953.t2	R.varieornatus	USP	Dev.B1.1	Dev	B1	1	1.45965825481223
g12979.t1	R.varieornatus	EcR	Dev.B1.1	Dev	B1	1	-0.0406016961701934
g13718.t1	R.varieornatus	CYP18A1	Dev.B1.1	Dev	B1	1	-0.0578941495802654
g8354.t1	R.varieornatus	EcR	Dev.B1.1	Dev	B1	1	-0.686700620459996
OQV12233.1	H.exemplaris	E74	Dev.B1.2	Dev	B1	2	-0.253140326639213
OQV14243.1	H.exemplaris	HR4	Dev.B1.2	Dev	B1	2	-0.26277257917595
OQV14677.1	H.exemplaris	EcR	Dev.B1.2	Dev	B1	2	0.98286433406891
OQV14742.1	H.exemplaris	E78	Dev.B1.2	Dev	B1	2	-0.453745959505329
OQV16526.1	H.exemplaris	CYP18A1	Dev.B1.2	Dev	B1	2	-0.0550487704128753
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B1.2	Dev	B1	2	-0.619575324491586
OQV18794.1	H.exemplaris	USP	Dev.B1.2	Dev	B1	2	-0.0230718265034381
OQV18795.1	H.exemplaris	USP	Dev.B1.2	Dev	B1	2	0.772147953237089
OQV18927.1	H.exemplaris	E75	Dev.B1.2	Dev	B1	2	0.172002518859074
OQV21685.1	H.exemplaris	Sad	Dev.B1.2	Dev	B1	2	-0.837779621398441
OWA50673.1	H.exemplaris	HR3	Dev.B1.2	Dev	B1	2	-0.354086930029337
OQV23446.1	H.exemplaris	EcR	Dev.B1.2	Dev	B1	2	0.359632674789948
g2273.t1	R.varieornatus	HR4	Dev.B1.2	Dev	B1	2	-1.07688791920757
