Hormone,ExposureDate,eggs,hatch,Ratio
20-E (Low),0,19,19,100
20-E (Low),0,6,3,50
20-E (Low),0,6,4,66.66666667
20-E (Low),0,5,5,100
20-E (Low),0,5,5,100
20-E (Low),0,10,10,100
20-E (Low),1,10,10,100
20-E (Low),1,6,6,100
20-E (Low),1,15,15,100
20-E (Low),1,10,10,100
20-E (Low),1,8,8,100
20-E (Low),1,5,5,100
20-E (Low),2,5,5,100
20-E (Low),2,9,9,100
20-E (Low),2,6,6,100
20-E (Low),2,3,3,100
20-E (Low),2,9,9,100
20-E (Low),2,11,11,100
20-E (Low),3,7,7,100
20-E (Low),3,6,4,66.66666667
20-E (Low),3,5,5,100
20-E (Low),3,3,0,0
20-E (Low),3,3,3,100
20-E (Low),3,3,3,100
Fenoxycarb (Low),0,17,17,100
Fenoxycarb (Low),0,7,4,57.14285714
Fenoxycarb (Low),0,16,16,100
Fenoxycarb (Low),0,5,5,100
Fenoxycarb (Low),0,5,5,100
Fenoxycarb (Low),0,5,5,100
Fenoxycarb (Low),1,9,9,100
Fenoxycarb (Low),1,10,9,90
Fenoxycarb (Low),1,9,9,100
Fenoxycarb (Low),1,9,9,100
Fenoxycarb (Low),1,7,7,100
Fenoxycarb (Low),1,5,5,100
Fenoxycarb (Low),2,21,20,95.23809524
Fenoxycarb (Low),2,19,19,100
Fenoxycarb (Low),2,7,6,85.71428571
Fenoxycarb (Low),2,5,5,100
Fenoxycarb (Low),2,11,11,100
Fenoxycarb (Low),2,10,10,100
Fenoxycarb (Low),3,5,5,100
Fenoxycarb (Low),3,5,5,100
Fenoxycarb (Low),3,2,1,50
Fenoxycarb (Low),3,6,6,100
Fenoxycarb (Low),3,3,0,0
Fenoxycarb (Low),3,3,3,100
20-E (High),0,9,9,100
20-E (High),0,9,9,100
20-E (High),0,8,8,100
20-E (High),1,4,4,100
20-E (High),1,5,5,100
20-E (High),1,7,7,100
20-E (High),2,3,3,100
20-E (High),2,11,11,100
20-E (High),2,8,8,100
20-E (High),3,4,3,75
20-E (High),3,6,6,100
20-E (High),3,9,8,88.88888889
Fenoxycarb (High),0,5,0,0
Fenoxycarb (High),0,5,0,0
Fenoxycarb (High),0,7,0,0
Fenoxycarb (High),1,6,1,16.66666667
Fenoxycarb (High),1,6,0,0
Fenoxycarb (High),1,5,0,0
Fenoxycarb (High),2,7,7,100
Fenoxycarb (High),2,5,0,0
Fenoxycarb (High),2,4,2,50
Fenoxycarb (High),3,13,12,92.30769231
Fenoxycarb (High),3,10,10,100
Fenoxycarb (High),3,8,8,100
20-E (Control),0,3,3,100
20-E (Control),0,6,6,100
20-E (Control),0,4,4,100
20-E (Control),0,2,2,100
20-E (Control),0,3,3,100
20-E (Control),0,3,3,100
Fenoxycarb (Control),0,3,3,100
Fenoxycarb (Control),0,6,6,100
Fenoxycarb (Control),0,4,4,100
Fenoxycarb (Control),0,2,2,100
Fenoxycarb (Control),0,3,3,100
Fenoxycarb (Control),0,3,3,100
20-E (Control),1,3,3,100
20-E (Control),1,6,6,100
20-E (Control),1,4,4,100
20-E (Control),1,2,2,100
20-E (Control),1,3,3,100
20-E (Control),1,3,3,100
Fenoxycarb (Control),1,3,3,100
Fenoxycarb (Control),1,6,6,100
Fenoxycarb (Control),1,4,4,100
Fenoxycarb (Control),1,2,2,100
Fenoxycarb (Control),1,3,3,100
Fenoxycarb (Control),1,3,3,100
20-E (Control),2,3,3,100
20-E (Control),2,6,6,100
20-E (Control),2,4,4,100
20-E (Control),2,2,2,100
20-E (Control),2,3,3,100
20-E (Control),2,3,3,100
Fenoxycarb (Control),2,3,3,100
Fenoxycarb (Control),2,6,6,100
Fenoxycarb (Control),2,4,4,100
Fenoxycarb (Control),2,2,2,100
Fenoxycarb (Control),2,3,3,100
Fenoxycarb (Control),2,3,3,100
20-E (Control),3,3,3,100
20-E (Control),3,6,6,100
20-E (Control),3,4,4,100
20-E (Control),3,2,2,100
20-E (Control),3,3,3,100
20-E (Control),3,3,3,100
Fenoxycarb (Control),3,3,3,100
Fenoxycarb (Control),3,6,6,100
Fenoxycarb (Control),3,4,4,100
Fenoxycarb (Control),3,2,2,100
Fenoxycarb (Control),3,3,3,100
Fenoxycarb (Control),3,3,3,100
