Species	Hormone	ExposureDate	eggs	hatch	Ratio
H. exemplaris	20-E (High)	0	9	9	100
H. exemplaris	20-E (High)	0	9	9	100
H. exemplaris	20-E (High)	0	8	8	100
H. exemplaris	20-E (High)	1	4	4	100
H. exemplaris	20-E (High)	1	5	5	100
H. exemplaris	20-E (High)	1	7	7	100
H. exemplaris	20-E (High)	2	3	3	100
H. exemplaris	20-E (High)	2	11	11	100
H. exemplaris	20-E (High)	2	8	8	100
H. exemplaris	20-E (High)	3	4	3	75
H. exemplaris	20-E (High)	3	6	6	100
H. exemplaris	20-E (High)	3	9	8	88.88888889
H. exemplaris	Fenoxycarb (High)	0	5	0	0
H. exemplaris	Fenoxycarb (High)	0	5	0	0
H. exemplaris	Fenoxycarb (High)	0	7	0	0
H. exemplaris	Fenoxycarb (High)	1	6	1	16.66666667
H. exemplaris	Fenoxycarb (High)	1	6	0	0
H. exemplaris	Fenoxycarb (High)	1	5	0	0
H. exemplaris	Fenoxycarb (High)	2	7	7	100
H. exemplaris	Fenoxycarb (High)	2	5	0	0
H. exemplaris	Fenoxycarb (High)	2	4	2	50
H. exemplaris	Fenoxycarb (High)	3	13	12	92.30769231
H. exemplaris	Fenoxycarb (High)	3	10	10	100
H. exemplaris	Fenoxycarb (High)	3	8	8	100
H. exemplaris	Control	0	3	3	100
H. exemplaris	Control	0	6	6	100
H. exemplaris	Control	0	4	4	100
H. exemplaris	Control	0	2	2	100
H. exemplaris	Control	0	3	3	100
H. exemplaris	Control	0	3	3	100
