Species	Hormone	ExposureDate	eggs	hatch	Ratio
H. exemplaris	20-E (Low)	0	19	19	100
H. exemplaris	20-E (Low)	0	6	3	50
H. exemplaris	20-E (Low)	0	6	4	66.66666667
H. exemplaris	20-E (Low)	0	5	5	100
H. exemplaris	20-E (Low)	0	5	5	100
H. exemplaris	20-E (Low)	0	10	10	100
H. exemplaris	20-E (Low)	1	10	10	100
H. exemplaris	20-E (Low)	1	6	6	100
H. exemplaris	20-E (Low)	1	15	15	100
H. exemplaris	20-E (Low)	1	10	10	100
H. exemplaris	20-E (Low)	1	8	8	100
H. exemplaris	20-E (Low)	1	5	5	100
H. exemplaris	20-E (Low)	2	5	5	100
H. exemplaris	20-E (Low)	2	9	9	100
H. exemplaris	20-E (Low)	2	6	6	100
H. exemplaris	20-E (Low)	2	3	3	100
H. exemplaris	20-E (Low)	2	9	9	100
H. exemplaris	20-E (Low)	2	11	11	100
H. exemplaris	20-E (Low)	3	7	7	100
H. exemplaris	20-E (Low)	3	6	4	66.66666667
H. exemplaris	20-E (Low)	3	5	5	100
H. exemplaris	20-E (Low)	3	3	0	0
H. exemplaris	20-E (Low)	3	3	3	100
H. exemplaris	20-E (Low)	3	3	3	100
H. exemplaris	Fenoxycarb (Low)	0	17	17	100
H. exemplaris	Fenoxycarb (Low)	0	7	4	57.14285714
H. exemplaris	Fenoxycarb (Low)	0	16	16	100
H. exemplaris	Fenoxycarb (Low)	0	5	5	100
H. exemplaris	Fenoxycarb (Low)	0	5	5	100
H. exemplaris	Fenoxycarb (Low)	0	5	5	100
H. exemplaris	Fenoxycarb (Low)	1	9	9	100
H. exemplaris	Fenoxycarb (Low)	1	10	9	90
H. exemplaris	Fenoxycarb (Low)	1	9	9	100
H. exemplaris	Fenoxycarb (Low)	1	9	9	100
H. exemplaris	Fenoxycarb (Low)	1	7	7	100
H. exemplaris	Fenoxycarb (Low)	1	5	5	100
H. exemplaris	Fenoxycarb (Low)	2	21	20	95.23809524
H. exemplaris	Fenoxycarb (Low)	2	19	19	100
H. exemplaris	Fenoxycarb (Low)	2	7	6	85.71428571
H. exemplaris	Fenoxycarb (Low)	2	5	5	100
H. exemplaris	Fenoxycarb (Low)	2	11	11	100
H. exemplaris	Fenoxycarb (Low)	2	10	10	100
H. exemplaris	Fenoxycarb (Low)	3	5	5	100
H. exemplaris	Fenoxycarb (Low)	3	5	5	100
H. exemplaris	Fenoxycarb (Low)	3	2	1	50
H. exemplaris	Fenoxycarb (Low)	3	6	6	100
H. exemplaris	Fenoxycarb (Low)	3	3	0	0
H. exemplaris	Fenoxycarb (Low)	3	3	3	100
H. exemplaris	Control	0	3	3	100
H. exemplaris	Control	0	6	6	100
H. exemplaris	Control	0	4	4	100
H. exemplaris	Control	0	2	2	100
H. exemplaris	Control	0	3	3	100
H. exemplaris	Control	0	3	3	100
R. varieronatus	20-E (Low)	0	12	10	83.33333333
R. varieronatus	20-E (Low)	0	10	8	80
R. varieronatus	20-E (Low)	0	9	8	88.88888889
R. varieronatus	20-E (Low)	1	12	10	83.33333333
R. varieronatus	20-E (Low)	1	6	6	100
R. varieronatus	20-E (Low)	1	5	4	80
R. varieronatus	20-E (Low)	2	4	4	100
R. varieronatus	20-E (Low)	2	5	3	60
R. varieronatus	20-E (Low)	2	8	7	87.5
R. varieronatus	20-E (Low)	3	11	10	90.90909091
R. varieronatus	20-E (Low)	3	11	8	72.72727273
R. varieronatus	20-E (Low)	3	10	9	90
R. varieronatus	Fenoxycarb (Low)	0	4	3	75
R. varieronatus	Fenoxycarb (Low)	0	4	4	100
R. varieronatus	Fenoxycarb (Low)	0	6	4	66.66666667
R. varieronatus	Fenoxycarb (Low)	1	7	6	85.71428571
R. varieronatus	Fenoxycarb (Low)	1	5	4	80
R. varieronatus	Fenoxycarb (Low)	1	8	6	75
R. varieronatus	Fenoxycarb (Low)	2	10	9	90
R. varieronatus	Fenoxycarb (Low)	2	5	5	100
R. varieronatus	Fenoxycarb (Low)	2	4	3	75
R. varieronatus	Fenoxycarb (Low)	3	10	8	80
R. varieronatus	Fenoxycarb (Low)	3	4	3	75
R. varieronatus	Fenoxycarb (Low)	3	5	4	80
R. varieronatus	Control	0	8	7	87.5
R. varieronatus	Control	0	5	4	80
R. varieronatus	Control	0	11	9	81.81818182
