Isoform	Gene	Dev-B1-1	Dev-B1-2	Dev-B1-3	Dev-B2-1	Dev-B2-2	Dev-B2-3	Dev-B3-1	Dev-B3-2	Dev-B3-3	Dev-B4-1	Dev-B4-2	Dev-B4-3	Dev-B5-1	Dev-B5-2	Dev-B5-3	Dev-B6-1	Dev-B6-2	Dev-B6-3	Dev-B7-1	Dev-B7-2	Dev-B7-3	Dev-E1-1	Dev-E1-2	Dev-E1-3	Dev-E2-1	Dev-E2-2	Dev-E2-3	Dev-E3-1	Dev-E3-2	Dev-E3-3	Dev-E4-1	Dev-E4-2	Dev-E4-3	Dev-E5-1	Dev-E5-2	Dev-E5-3	PB-act-1	PB-act-2	PB-act-3	PB-tun-1	PB-tun-2	PB-tun-3
OQV11687.1	Hox1_labial	1.12127	1.92826	1.05342	0.620532	0.656343	0.332109	0.517973	0.278708	0.0259766	0.202113	0.192655	0.570651	0.490424	0.815269	0.154657	0.791019	0.734836	0.706153	0.53779	0.733697	0.245605	0.0604032	0.0384708	3.60061	7.46321	9.66435	7.77086	17.8345	12.6587	12.8244	0.50729	0.742073	1.84515	1.36156	0.979635	1.61508	0.239562	0.234725	0.686616	0.671177	0.488491	0.665232
OQV13318.1	caudal1	2.41348	1.12052	1.76047	1.20577	0.271859	0.429952	0.855168	1.23525	1.4054	0	1.16548	0	0.756368	0.804769	0.747287	1.33756	1.11671	1.15202	0	0.659126	0.618605	0.814672	1.29165	2.37781	2.76113	7.05194	1.98584	2.16184	0.51397	1.37926	0.342914	0	0.624075	0.69791	1.62044	1.01607	0.952916	0.202627	4.14392	0.559145	0.568952	0.331653
OQV13319.1	caudal2	0	3.00307	0	0	0.0024606	0.00160877	0.0175097	0.590335	0.642906	1.45142	0.998668	1.02606	0.712922	0	0	0.852431	0.517731	0.0037059	1.28724	0.00292237	0.289363	0.75277	1.79794	1.07716	1.17648	3.90594	2.35766	0	1.46936	0.630567	0.00325915	0.293259	0.00329236	0.325064	0.48338	0.858979	0.596866	0.975078	2.62982	0.00226764	0.524459	0.630689
OQV19569.1	Hox7_ftz	4.70776	5.7194	4.38853	1.62557	2.55792	3.07732	1.8893	1.55773	1.74646	1.15012	1.08917	0.782296	1.95405	1.93942	1.15945	1.86431	1.11114	1.36043	1.23226	1.13258	0.605865	0.0859891	0.942655	22.6249	21.0007	37.3752	38.1464	29.8143	28.5327	26.7686	5.39834	5.43452	6.08512	6.25238	4.69313	4.95502	0.532979	0.35832	1.01817	1.16872	0.396127	0.750897
OQV23307.1	Hox4_disformed	6.39246	5.26196	4.05871	3.24708	1.70586	1.52023	1.27934	0.967316	1.03848	0.829445	0.413534	0.686543	1.32267	1.23759	1.32116	1.18283	1.15683	0.547278	1.55446	1.45193	0.876219	0.716782	1.3177	15.2519	16.8172	26.8218	25.5947	27.7829	20.0409	18.9038	2.13208	3.17695	5.79863	4.58367	3.44639	3.83682	0.869222	0.444384	0.893492	1.21424	1.53502	1.41876
OQV23613.1	engrailed	5.37005	7.96463	4.05926	3.81031	4.5766	1.90931	5.20146	2.09189	4.70896	4.10449	3.03033	3.51799	1.03956	2.8772	2.22551	1.80787	1.22336	1.60237	1.28049	1.66657	1.85683	0.228455	0.650396	38.6946	64.0581	32.9147	56.7748	34.6832	34.9135	32.1451	11.1936	11.8269	13.0654	10.6251	6.38072	6.67649	1.13104	1.09924	0.720769	0.788925	1.30157	1.13174
OQV25958.1	Hox3_zen	3.76496	4.952	1.66119	1.85029	1.5064	0.780268	0.778446	0.626785	0.352158	0.347784	0.217859	0.639313	0.675348	1.6497	0.77372	1.28732	1.17565	1.49298	1.11337	1.1981	0.416314	1.33893	1.91038	16.59	15.4245	28.0289	26.8874	19.7183	18.5499	18.2725	0.973467	2.65203	4.24871	4.6982	2.79805	3.63044	0.308838	0.354146	0.927764	1.7853	1.26084	1.67007
OWA52851.1	Hox9_abdb-2	8.3021	3.8425	1.31001	1.78	2.12765	0.445141	1.29673	2.1914	1.85546	1.91578	1.31565	0.902458	0.771017	0.768	0.668757	1.9389	0.578544	1.05566	0.787034	1.4219	1.19867	0.0715389	0.0607552	1.92974	3.40274	3.03579	5.02881	4.03017	4.30501	4.15709	0.638764	1.20872	2.1969	1.65917	0.899676	1.20091	1.21969	0.734199	1.46309	1.78801	2.97927	2.42581
OWA52852.1	Hox10_abdb-1	17.8927	17.5275	8.57251	9.70424	7.73289	5.72671	4.06011	4.43841	4.76309	4.45598	6.05211	2.92367	3.3839	4.21071	3.30811	5.28954	5.1351	7.92552	5.58349	4.82385	2.21199	0.31581	0.590474	5.64206	6.01006	8.66983	9.94837	24.0383	25.0173	24.4808	4.28035	6.33395	9.35149	5.98939	6.03374	9.02379	1.90874	1.57629	3.63603	3.42021	3.0813	3.02501
g2153.t1	Hox4_disformed	19.7685	23.5705	23.9814	8.55446	9.20385	7.68708	15.0329	10.7619	11.9571	16.6582	13.3829	14.6165	13.1458	14.7019	15.0378	7.57054	35.8167	46.9916	23.8958	24.8605	44.2222	9.95259	10.2129	7.33649	14.3875	13.8517	15.2635	6.41433	11.0828	17.569	17.2978	16.2624	13.1586	12.2277	7.62684	8.4142	4.36167	4.84186	6.05333	4.41648	4.59008	3.14143
