variable	CDS	X10k	Contig	value	V2
SRR1755597	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	0
SRR1755597	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	0
SRR1755597	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	0
SRR1755597	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	0	0
SRR1755597	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	0
SRR1755597	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	0
SRR1755598	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	30
SRR1755598	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	30
SRR1755598	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	30
SRR1755598	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	0	30
SRR1755598	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	30
SRR1755598	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	30
SRR1755599	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	60
SRR1755599	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	60
SRR1755599	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	60
SRR1755599	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	10.0368855544125	60
SRR1755599	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	60
SRR1755599	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	19.113829522421	60
SRR1755600	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	47.8963905280098	90
SRR1755600	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	90
SRR1755600	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	90
SRR1755600	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	90
SRR1755600	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	90
SRR1755600	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	1.56162158785683	90
SRR1755601	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	7.32872763516617	120
SRR1755601	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	120
SRR1755601	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	1.55354768148544	120
SRR1755601	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	120
SRR1755601	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	120
SRR1755601	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	120
SRR1755602	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	180
SRR1755602	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	180
