N	variable	value
1	0	125.430398
2	0	119.7297831
3	0	124.0397886
4	0	124.769236
5	0	134.4070991
6	0	117.4402183
7	0	124.4776177
8	0	132.3995122
9	0	102.2873155
10	0	118.3327469
11	0	122.7222846
12	0	121.2167953
13	0	132.8124372
14	0	122.6483759
15	0	134.7437053
16	0	133.0381803
17	0	116.9260704
18	0	136.1383315
19	0	91.62356661
20	0	126.9431176
21	0	132.8236842
1	1	102.1860926
2	1	137.2059918
3	1	132.91125
4	1	121.1195892
5	1	157.8474234
6	1	114.4155825
7	1	131.8548368
8	1	131.14708
9	1	138.4262897
10	1	99.91420157
11	1	146.1706425
12	1	147.999081
13	1	118.8910794
14	1	96.28142528
15	1	121.171004
16	1	144.1935831
17	1	152.4287865
18	1	120.6480192
19	1	107.97347
21	1	127.9754302
1	2	166.4698444
2	2	133.9981908
3	2	153.3984373
4	2	145.8846477
5	2	149.0257701
6	2	105.3215915
7	2	150.5240292
8	2	162.527776
9	2	169.4800197
10	2	129.8062787
11	2	145.4050441
12	2	154.9866723
13	2	143.5854425
14	2	136.8629587
15	2	137.8575135
16	2	128.2919525
17	2	151.4663659
18	2	133.9548096
19	2	124.7459386
20	2	137.438965
21	2	159.8076123
1	3	238.1026978
2	3	198.0055881
3	3	175.8466168
4	3	157.810469
5	3	182.0943172
6	3	137.2614233
7	3	187.72022
8	3	186.5706174
9	3	232.2406084
10	3	141.2316092
11	3	145.637214
12	3	184.0191584
13	3	172.2138405
14	3	104.0426486
15	3	160.4511005
16	3	152.3259569
17	3	123.7754845
18	3	166.3927222
19	3	173.2268726
20	3	149.5093904
21	3	158.3953123
1	4	227.1963354
2	4	145.5584851
3	4	172.0210351
4	4	164.9426645
5	4	164.9049067
6	4	188.0833369
7	4	170.4376202
8	4	158.8990165
9	4	217.2989883
10	4	226.1037711
11	4	170.6408693
12	4	167.8612572
13	4	172.0314787
14	4	173.2959612
15	4	173.9161521
16	4	225.4096714
19	4	235.9657706
20	4	175.3405025
21	4	179.7991288
1	5	244.0941276
2	5	175.2585602
3	5	200.1561724
4	5	175.0713782
5	5	204.9096305
6	5	147.2431229
7	5	174.2254442
8	5	183.7845785
9	5	187.9491765
10	5	175.3903106
11	5	189.7221834
12	5	179.4705562
13	5	173.9306125
14	5	174.5636571
15	5	207.7928755
16	5	205.8905283
17	5	193.967117
18	5	221.817063
19	5	188.8802662
20	5	178.3675483
21	5	216.6000684
1	6	287.0688589
2	6	180.0714666
3	6	171.1831347
4	6	178.2839992
5	6	180.0200518
6	6	155.8197526
7	6	176.5608004
8	6	204.0187086
10	6	198.0762835
11	6	172.4492239
12	6	250.1835669
14	6	174.2720389
15	6	195.7280736
16	6	207.12609
17	6	179.3588897
18	6	130.1782326
19	6	246.9813895
20	6	218.2011572
21	6	209.0919023
1	7	232.5900683
2	7	234.5422236
3	7	236.1714298
4	7	199.9392663
5	7	240.5882816
6	7	161.9268657
7	7	245.0694019
8	7	185.9938077
9	7	203.4089613
10	7	180.3783486
11	7	164.3417541
12	7	184.9550683
13	7	204.951405
14	7	191.0517377
15	7	187.9628335
16	7	221.5029507
17	7	204.552137
18	7	133.8584069
19	7	240.6292528
20	7	244.6388031
21	7	226.7914439
1	8	232.8881134
2	8	239.8684745
3	8	247.0070968
4	8	197.211069
5	8	223.863211
6	8	136.0531757
7	8	218.1449222
8	8	208.7344089
9	8	281.4992
10	8	191.3080083
11	8	229.099486
12	8	215.6079237
13	8	240.2179344
14	8	172.8573288
15	8	200.4397571
16	8	232.6294327
17	8	221.4692098
18	8	199.13109
19	8	237.6873627
20	8	251.1275103
21	8	207.0481644
1	9	268.3145107
2	9	221.370397
3	9	237.7227104
4	9	197.2223159
5	9	209.2091923
6	9	199.4476123
7	9	245.2276631
8	9	243.6803992
9	9	228.2824729
10	9	181.1527839
11	9	209.4863502
12	9	232.9226577
13	9	241.8551742
14	9	239.5736429
15	9	210.0744068
16	9	174.0021112
17	9	187.1401969
18	9	195.2661438
19	9	216.7045047
20	9	219.0928824
21	9	211.8642842
1	10	255.1756217
2	10	258.9738893
3	10	230.9688957
4	10	214.2414149
5	10	219.017367
6	10	212.8379518
7	10	233.6713856
8	10	204.9369446
9	10	243.8916819
10	10	194.4651978
11	10	213.1006493
12	10	205.8905283
13	10	238.5011625
14	10	251.7091401
15	10	265.9028357
16	10	236.5208897
17	10	203.1711679
18	10	209.2903313
19	10	239.5101777
20	10	215.3082718
21	10	206.9437281
1	11	245.6462116
2	11	289.8171401
3	11	271.0435114
5	11	251.3492366
6	11	183.0969056
7	11	203.0771752
8	11	208.1326951
9	11	251.0222706
10	11	208.5094692
11	11	240.5641809
12	11	208.2234744
13	11	241.2470336
14	11	166.4425303
15	11	216.7221786
16	11	222.8325051
17	11	231.1408139
18	11	212.3647751
19	11	252.0545832
20	11	254.269436
21	11	215.5428518
1	12	216.5333899
2	12	257.2474771
3	12	257.4965175
4	12	208.691831
5	12	250.5105328
6	12	195.1215397
7	12	265.3661938
8	12	241.5033042
9	12	249.0749355
10	12	189.6796055
11	12	236.6984314
12	12	260.0552066
13	12	233.1034128
14	12	220.9630954
15	12	238.0520864
16	12	295.9459438
17	12	225.3911943
18	12	205.2293662
19	12	231.3416529
20	12	247.9743376
21	12	244.0885041
1	13	262.9223846
2	13	236.8494623
3	13	243.8282168
4	13	206.5910548
5	13	227.4734933
7	13	213.9835376
8	13	220.5180361
9	13	242.7533263
11	13	268.4141269
12	13	238.9205143
13	13	256.4071666
14	13	246.5411503
15	13	237.4969673
16	13	260.6753975
17	13	197.188575
18	13	223.3964611
19	13	252.8908769
20	13	265.8883753
21	13	219.7660948
1	14	276.0331561
2	14	274.7317192
3	14	291.626298
4	14	207.1357302
5	14	262.2628292
7	14	247.2199862
8	14	250.5804248
9	14	257.0715421
10	14	225.2265063
12	14	240.496699
14	14	249.5264216
15	14	229.2762244
17	14	229.956667
18	14	179.2335661
19	14	249.4589397
20	14	263.0469047
21	14	257.9327398
1	15	315.0867062
2	15	252.41288
3	15	282.9974501
4	15	251.00058
5	15	234.0272723
8	15	238.9928164
9	15	240.0098652
10	15	171.1148494
12	15	276.6011289
16	15	252.1317054
17	15	276.5047261
18	15	176.1052975
19	15	265.526865
20	15	269.1395574
21	15	245.0308408
1	16	281.499191
2	16	264.7909908
5	16	235.3246924
7	16	275.2547041
8	16	244.1503626
9	16	247.1910654
12	16	225.0778854
13	16	251.4721501
16	16	265.1034964
17	16	240.7891206
18	16	238.5324933
19	16	250.7234222
1	17	350.8143621
2	17	280.7528732
3	17	285.0524351
4	17	258.7706402
6	17	219.1434939
7	17	229.0794021
8	17	267.6670057
9	17	262.6821811
10	17	197.4826033
12	17	239.5953335
13	17	234.7494895
16	17	254.0742205
18	17	238.1251918
19	17	219.4969705
20	17	259.1755317
1	18	303.7015436
3	18	305.1989993
4	18	241.791709
5	18	244.7552897
6	18	188.8850863
9	18	290.4558082
10	18	181.1921483
12	18	215.6874559
13	18	222.042806
16	18	264.1426825
17	18	252.5228595
20	18	253.5316016
1	19	306.0513602
3	19	347.0851831
4	19	217.1584009
5	19	254.7136919
6	19	234.3413846
7	19	283.9092593
8	19	245.495984
9	19	265.8690947
10	19	215.3548665
12	19	241.1907987
13	19	261.4578664
