Org	Gene	ID	TimePoint	Average	SD	Rep1	Rep2	Rep3	SwissProt
He	OQV24729.1	PB	act	246.633	24.244	267.569	220.071	252.259	SAHS2_HYPDU
He	OQV24729.1	PB	tun	31.991	2.947	35.392	30.393	30.188	SAHS2_HYPDU
He	OQV24729.1	Dev	B1	135.233	31.254	144.249	100.462	160.989	SAHS2_HYPDU
He	OQV24729.1	Dev	B2	153.696	18.563	174.012	137.620	149.457	SAHS2_HYPDU
He	OQV24729.1	Dev	B3	247.581	39.862	263.521	277.007	202.216	SAHS2_HYPDU
He	OQV24729.1	Dev	B4	414.212	2.776	416.184	411.038	415.415	SAHS2_HYPDU
He	OQV24729.1	Dev	B5	124.421	16.606	143.311	117.825	112.126	SAHS2_HYPDU
He	OQV24729.1	Dev	B6	132.037	8.187	126.867	127.768	141.477	SAHS2_HYPDU
He	OQV24729.1	Dev	B7	173.955	41.986	155.688	221.981	144.197	SAHS2_HYPDU
He	OQV24729.1	Dev	E1	11.532	1.996	12.681	9.226	12.688	SAHS2_HYPDU
He	OQV24729.1	Dev	E2	7.501	0.661	8.264	7.109	7.129	SAHS2_HYPDU
He	OQV24729.1	Dev	E3	214.272	24.471	192.572	240.795	209.448	SAHS2_HYPDU
He	OQV24729.1	Dev	E4	269.832	32.291	244.798	306.280	258.417	SAHS2_HYPDU
He	OQV24729.1	Dev	E5	124.855	4.181	129.682	122.333	122.551	SAHS2_HYPDU
He	OQV25556.1	PB	act	0.943	0.572	1.109	0.307	1.414	SAHS2_HYPDU
He	OQV25556.1	PB	tun	4.821	2.184	7.090	4.639	2.734	SAHS2_HYPDU
He	OQV25556.1	Dev	B1	13.840	3.995	16.847	9.308	15.366	SAHS2_HYPDU
He	OQV25556.1	Dev	B2	13.470	1.340	14.958	12.356	13.098	SAHS2_HYPDU
He	OQV25556.1	Dev	B3	6.463	0.251	6.446	6.221	6.723	SAHS2_HYPDU
He	OQV25556.1	Dev	B4	2.870	1.248	2.714	1.707	4.188	SAHS2_HYPDU
He	OQV25556.1	Dev	B5	8.358	0.803	7.500	8.483	9.092	SAHS2_HYPDU
He	OQV25556.1	Dev	B6	9.288	0.959	8.937	10.373	8.553	SAHS2_HYPDU
He	OQV25556.1	Dev	B7	4.258	2.652	6.631	1.395	4.747	SAHS2_HYPDU
He	OQV25556.1	Dev	E1	0.000	0.000	0.000	0.000	0.000	SAHS2_HYPDU
He	OQV25556.1	Dev	E2	0.000	0.000	0.000	0.000	0.000	SAHS2_HYPDU
He	OQV25556.1	Dev	E3	2.292	2.177	0.383	4.664	1.831	SAHS2_HYPDU
He	OQV25556.1	Dev	E4	15.269	1.872	15.661	16.914	13.232	SAHS2_HYPDU
